Descripcion,registros,cantidad
INGRESO A TRATAMIENTO ODONTOLOGICO GENERAL INDICE CEOD O COPD (7 A 8),4,4
ATENCIÓN BAJO ANESTESIA LOCAL,4,4
INGRESO Nº DE DIENTES (1 A 9),4,4
TRATAMIENTO RESTAURADOR ATRAUMÁTICO (ART),4,5
INGRESO Nº DE DIENTES (28 Y MÁS),4,4
INGRESO Nº DE DIENTES (10 A 19),3,3
PATOLOGIA ORAL (INTERCONSULTA),3,3
APLICACIÓN DE FLUORURO DIAMINO DE PLATA,2,2
CONTROL (REHABILITACIÓN: PROTÉSIS REMOVIBLE),2,2
A PERSONAS CON DEPENDENCIA SEVERA NO ONCOLÓGICOS EN DOMICILIO,2,2
TRATAMIENTOS Y/O PROCEDIMIENTOS EN DOMICILIO A PERSONAS CON DEPENDENCIA MODERADA.,2,2
INGRESO A TRATAMIENTO ODONTOLOGICO GENERAL INDICE CEOD O COPD (9 O MÁS),2,2
"RX INTRAORALES (RETROALVEOLARES, BITE WING Y OCLUSALES)",2,2
INGRESO Nº DE DIENTES (0),2,2
CONTROL OPERATORIA DE ALTA COMPLEJIDAD,1,1
CONSULTA NUEVA DE OPERATORIA DE ALTA COMPLEJIDAD,1,1
ALTAS ADMINISTRATIVAS (REHABILITACIÓN: PROTÉSIS REMOVIBLE),1,1
ATENCIÓN ODONTOLÓGICA CONSULTA NUEVA DE ESPECIALIDAD ODONTOLÓGICA (TELECONSULTA),1,1
"ESTRATEGIA ECICEP - ATENCIÓN PERIODONTAL PERSONAS CON DIABETES MELLITUS, TRATAMIENTO PERIODONCIA ODONTÓLOGO APS, N° DE SEXTANTES",1,5
ESTRATEGIA ATENCIÓN ODONTOLÓGICA INTEGRAL A HOMBRES/ ALTAS INTEGRALES/ACTIVIDADES (SUBSISTEMA SEGURIDADES Y OPORTUNIDADES),1,1
ESTRATEGIA MÁS SONRISAS PARA CHILE/ ALTAS INTEGRALES (DEMANDA LOCAL),1,1
ESTRATEGIA ATENCIÓN ODONTOLÓGICA INTEGRAL A HOMBRES/ ALTAS INTEGRALES/ACTIVIDADES (DEMANDA LOCAL),1,1
ESTRATEGIA MÁS SONRISAS PARA CHILE/ ALTAS INTEGRALES (JUNJI-INTEGRA-MINEDUC),1,1
ODONTOPEDIATRÍA,1,1
REHABILITACIÓN: PROTÉSIS REMOVIBLE CONSULTA NUEVA (INASISTENTE),1,1
REHABILITACIÓN: PROTÉSIS REMOVIBLE CONTROL (INASISTENTE),1,1
