,encuentros_efectivos,pacientes_unicos,inasistencias,pct_inasistencia,pct_telesalud,dias_con_actividad,promedio_diario,pct_hora_defecto,ninos_sembrando_sonrisas
Tierras Blancas,9188.0,5212.0,2268.0,19.797486033519554,10.089246843709185,240.0,38.28333333333333,50.52657063309527,432.0
Lila Cortés,550.0,413.0,4.0,0.7220216606498195,0.36363636363636365,210.0,2.619047619047619,47.627737226277375,503.0
Otros centros,465.0,363.0,21.0,4.320987654320987,1.0752688172043012,201.0,2.3134328358208953,51.08695652173913,227.0
Total,10203.0,5988.0,2293.0,18.34987195902689,9.154170342056258,241.0,42.33609958506224,50.38299708706441,1162.0
