centro,poblacion_inscrita,pacientes_atendidos,encuentros,cobertura_pct,encuentros_x1000
Tierras Blancas,43234,5212,9188,12.05532682610908,212.5179257066198
Lila Cortés,20539,413,550,2.010808705389746,26.778324163785967
